Inteligent_ES,Inteligent_EN,Uninteligent_ES,Uninteligent_EN,SelfConfident_ES,SelfConfident_EN,Insecure_ES,Insecure_EN,Trustworthy_ES,Trustworthy_EN,Untrustworthy_ES,Untrustworthy_EN,Friendly_ES,Friendly_EN,Unfriendly_ES,Unfriendly_EN,Kind_ES,Kind_EN,Unkind_ES,Unkind_EN,Outgoing_ES,Outgoing_EN,Antisocial_ES,Antisocial_EN
inteligente,intelligent,tonto,unintelligent,seguro,self-confident,inseguro,insecure,fiable,trustworthy,desleal,untrustworthy,amigable,friendly,hostil,unfriendly,amable,kind,rudo,unkind,extrovertido,outgoing,introvertido,antisocial
listo,smart,torpe,dumb,decidido,confident,inestable,worried,fiel,reliable,dudoso,fraudulent,afable,warm,contrario,icy,atento,compassionate,brusco,rude,extravertido,social,retraído,detached
capaz,clever,incapaz,stupid,aplomado,optimistic,indeciso,nervous,leal,responsible,infiel,dishonest,agradable,gracious,enemigo,cold,benévolo,benevolent,ordinario,unpleasant,comunicativo,extroverted,tímido,distant
ingenioso,quick,inepto,slow,resuelto,assured,vacilante,anxious,confiable,safe,inexacto,deceptive,accesible,nice,adverso,frigid,cariñoso,thoughtful,áspero,unfavorable,sociable,extraverted,insociable,unsociable
sesudo,brilliant,incompetente,simple,confiado,self-assured,incierto,upset,fidedigno,true,falso,misleading,gentil,amicable,rival,brittle,afectuoso,sympathetic,grosero,inconsiderate,abierto,gregarious,reservado,asocial
avispado,fast,soso,ignorant,tranquilo,hopeful,variable,troubled,honesto,good,deshonesto,incorrect,dulce,neighborly,adversario,arctic,caballeroso,gentle,zafio,discourteous,tratable,spirited,huraño,cool
perspicaz,exceptional,irreflexivo,thick,audaz,proud,titubeante,uneasy,honrado,dependable,corrupto,false,cordial,sweet,arisco,chilly,educado,kindly,antipático,impolite,expresivo,sociable,cerrado,reserved
vivo,bright,alocado,foolish,lanzado,secure,movedizo,apprehensive,íntegro,steady,corrompido,wrong,simpático,merry,desagradable,unsympathetic,obsequioso,humane,violento,unmannerly,expansivo,lively,huidizo,aloof
agudo,sharp,atontado,dense,atrevido,smug,mudable,uptight,noble,solid,incompleto,deceiving,encantador,collegial,descortés,glacial,correcto,generous,hosco,surly,efusivo,cheerful,adusto,withdrawn
despierto,keen,obtuso,dull,valiente,self-asserting,dubitativo,perturbed,sincero,loyal,inmoral,inaccurate,adorable,cordial,desabrido,antiseptic,considerado,kindhearted,bronco,uncivil,conversador,talkative,misántropo,standoffish
espabilado,educated,lento,idiotic,enérgico,poised,irresoluto,concerned,legal,trustable,dehonrado,treacherous,cercano,affectionate,inaccesible,coldish,delicado,merciful,basto,negative,sencillo,convivial,introverso,dry
despejado,skilled,ingenuo,brainless,emprendedor,composed,indeterminado,ill at ease,creíble,trusty,innoble,duplicitous,cortés,companionable,inalcanzable,uncaring,complaciente,beneficent,vulgar,impertinent,vehemente,animated,solitario,remote
sagaz,wise,bobo,vacuous,sereno,serene,perplejo,hesitant,fehaciente,sure,vil,deceitful,cautivador,warmhearted,incomprensible,cold-blooded,solícito ,pleasant,maleducado,hostile,elocuente,jolly,esquivo,timid
astuto,nimble,cándido,mindless,cicunspecto,conceited,confuso,disturbed,veraz,calculable,mentiroso,mendacious,atrayente,chummy,ininteligible,uncordial,respetuoso,benignant,soez,antagonistic,acelerado,clubby,cohibido,clinical
despabilado,brainy,inapto,obtuse,grave,unperturbed,impreciso,jumpy,verídico,strong,hipócrita,untruthful,fascinante,loving,dificil,gelid,galante,tender,patán,inhospitable,intenso,clubbable,vergonzoso,offish
apto,alert,suspenso,doltish,mesurado,coolheaded,vago,flustered,aunténtico,faithful,insincero,faithless,estupendo,comradely,intratable,pitiless,servicial,good-hearted,desatento,ill-mannered,ardiente,communicative,corto,professional
competente,quick-witted,inexperto,witless,prudente,self-possesed,borroso,jittery,decente,tried,ilegal,crooked,magnífico,genial,desfavorable,hard-eyed,comedido,attentive,tosco,contrary,pasional,boon,cauteloso,silent
idóneo,hyperintelligent,inadecuado,irrational,ponderado,upbead,cambiante,bothered,recto,steadfast,ilícito,lying,seductor,hospitable,molesto,unresponsive,bondadoso,humanitarian,agrio,inimical,apasionado,jovial,cauto,shy
suficiente,cunning,inapropiado,oafish,reflexivo,unshaken,variante,tense,honorable,honest,embustero,delusive,atractivo,hearty,fastidioso,heartless,generoso,considerate,seco,adversary,caluroso,vivacious,guardado,unsocial
calificado,supersmart,desacreditado,fatuous,imperturbable,collected,inconstante,edgy,justo,devoted,mendaz,specious,arrebatador,approachable,desplacible,uninterested,benigno,patient,difícil,spiteful,locauz,forthcoming,discreto,introverted
